eo,tr,sözcük_türü,örnek_eo,örnek_tr
akvo,su,isim,Mi trinkas akvon.,Su içiyorum.
domo,ev,isim,La domo estas granda.,Ev büyük.
amiko,arkadaş,isim,Li estas mia amiko.,O benim arkadaşım.
libro,kitap,isim,Mi legis novan libron.,Yeni bir kitap okudum.
lerni,öğrenmek,fiil,Mi volas lerni Esperanton.,Esperanto öğrenmek istiyorum.
bela,güzel,sıfat,Tiu floro estas bela.,Bu çiçek güzel.
rapide,hızla,zarf,Li parolas rapide.,Hızlı konuşuyor.
manĝi,yemek (yemek yemek),fiil,Ni manĝas kune.,Birlikte yemek yiyoruz.
iri,gitmek,fiil,Mi iras hejmen.,Eve gidiyorum.
hodiaŭ,bugün,zarf,Hodiaŭ estas varma tago.,Bugün sıcak bir gün.
